8,1024,[2.3999107 1.8235816],[2.3999107 1.8235816],[2.3999102 1.8235815]
8,1024,[1.4230042  0.47306746],[1.4230042  0.47306746],[1.423004   0.47306728]
8,1024,[0.847466  1.4455223],[0.847466  1.4455223],[0.847466  1.4455223]
8,1024,[0.9919924 2.2331157],[0.9919924 2.2331157],[0.99199235 2.2331154 ]
8,1024,[1.779167  1.9327654],[1.779167  1.9327654],[1.779167  1.9327654]
8,1024,[1.9618491 0.2557987],[1.9618491 0.2557987],[1.9618489  0.25579882]
8,1024,[1.9224274  0.95213157],[1.9224274  0.95213157],[1.9224273  0.95213175]
8,2048,[2.262405  2.7808096],[2.262405  2.7808096],[2.2624052 2.780809 ]
8,2048,[2.4003484 1.8214232],[2.4003484 1.8214232],[2.3993247 1.8203304]
8,2048,[1.3884695  0.50793695],[1.3884695  0.50793695],[1.3890234 0.5094265]
8,2048,[0.8914257 1.5072505],[0.8914257 1.5072505],[0.8914258 1.5072507]
8,2048,[1.0126611 2.2306683],[1.0126611 2.2306683],[1.0124731 2.229419 ]
8,2048,[1.814672  1.8963015],[1.814672  1.8963015],[1.8142047 1.8983316]
8,2048,[1.8743678  0.19546029],[1.8743678  0.19546029],[1.8715514  0.19425523]
8,2048,[1.9433246  0.87518215],[1.9433246  0.87518215],[1.9422637 0.8746717]
8,4096,[2.2693272 2.7392452],[2.2693272 2.7392452],[2.267486 2.75    ]
8,4096,[2.3886378 1.7873293],[2.3886378 1.7873293],[2.4087493 1.787066 ]
8,4096,[1.4048856  0.45585755],[1.4048856  0.45585755],[1.3947319  0.45245928]
8,4096,[0.94356734 1.4816003 ],[0.94356734 1.4816003 ],[0.91168976 1.4946803 ]
8,4096,[0.9908724 2.2506702],[0.9908724 2.2506702],[1.0134451 2.2243657]
8,4096,[1.751533  1.8681434],[1.751533  1.8681434],[1.8107504 1.8870561]
8,4096,[1.9441704 0.1946764],[1.9441704 0.1946764],[1.9424984  0.21307337]
8,4096,[1.928537  0.8373015],[1.928537  0.8373015],[1.9043792 0.8559596]
8,8192,[2.2420416 2.746107 ],[2.2420416 2.746107 ],[2.283127  2.6580753]
8,8192,[2.4164865 1.7671816],[2.4164865 1.7671816],[2.4337254 1.7305099]
8,8192,[1.402966  0.4160236],[1.402966  0.4160236],[1.384275  0.4710319]
8,8192,[0.8707915 1.4904665],[0.8707915 1.4904665],[0.8965859 1.5708035]
8,8192,[0.9888589 2.2384558],[0.9888589 2.2384558],[1.0211077 2.2780833]
8,8192,[1.7655917 1.887001 ],[1.7655917 1.887001 ],[1.8184565 1.8555326]
8,8192,[1.9770397  0.23761009],[1.9770397  0.23761009],[1.9273356  0.20723557]
8,8192,[1.8563308 0.9042746],[1.8563308 0.9042746],[1.886416   0.84302115]
8,16384,[2.260435  2.7438319],[2.260435  2.7438319],[2.2781718 2.7814667]
8,16384,[2.4452672 1.7492721],[2.4452672 1.7492721],[2.4680762 1.874045 ]
